Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
0.3825, 49.9375, 0, 49.9375
0.3875, 50.2355, 0, 50.2355
0.3925, 50.7123, 0, 50.7123
0.3975, 51.5918, 0, 51.5918
0.4025, 52.4276, 0, 52.4276
0.4075, 52.8858, 0, 52.8858
0.4125, 49.9763, 0, 49.9763
0.4175, 49.9072, 0, 49.9072
0.4225, 50.6209, 0, 50.6209
0.4275, 51.2972, 0, 51.2972
0.4325, 51.9181, 0, 51.9181
0.4375, 52.502, 0, 52.502
0.4425, 53.053, 0, 53.053
0.4475, 53.5634, 0, 53.5634
0.4525, 54.0234, 0, 54.0234
0.4575, 54.4512, 0, 54.4512
0.4625, 54.844, 0, 54.844
0.4675, 55.1845, 0, 55.1845
0.4725, 55.4956, 0, 55.4956
0.4775, 55.7741, 0, 55.7741
0.4825, 56.0044, 0, 56.0044
0.4875, 56.2126, 0, 56.2126
0.4925, 56.3936, 0, 56.3936
0.4975, 56.5332, 0, 56.5332
0.5025, 56.6488, 0, 56.6488
0.5075, 56.7248, 0, 56.7248
0.5125, 56.7703, 0, 56.7703
0.5175, 56.7917, 0, 56.7917
