Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
64, 3, -0.352681, -0.52778, 25.6231, 9.97461, 0, 5
64, 3, 1.51331, -0.946664, 50, 9.95035, 0, 2
64, 3, 1.58963, -0.963795, 50.9969, 9.95035, 0, 3
65, 3, -3.72064e-008, 1.08352e-008, 0, 10, 0, 1
65, 3, -3.72064e-008, 1.08352e-008, 50, 9.9505, 0, 2
65, 3, -3.72064e-008, 1.08352e-008, 51, 9.9505, 0, 3
66, 3, -3.67189e-008, 2.26267e-008, 0, 10, 0, 1
66, 3, -3.67189e-008, 2.26267e-008, 1.49078, 9.99852, 0, 5
66, 3, -0.0213708, -0.00456342, 2.7424, 9.99728, 0, 5
66, 3, -1.4746, -2.7546, 42.752, 9.95754, 0, 5
66, 3, -1.48713, -3.48156, 50, 9.95031, 0, 2
66, 3, -1.48885, -3.58136, 50.995, 9.95031, 0, 3
67, 3, 4.66361e-008, -8.33277e-008, 0, 10, 0, 1
67, 3, 4.66361e-008, -8.33277e-008, 50, 9.9505, 0, 2
67, 3, 4.66361e-008, -8.33277e-008, 51, 9.9505, 0, 3
68, 3, 3.17891e-009, 5.76238e-008, 0, 10, 0, 1
68, 3, 3.17891e-009, 5.76238e-008, 9.72227, 9.99037, 0, 5
68, 3, 0.570438, -0.710262, 47.6746, 9.95276, 0, 5
68, 3, 0.672573, -0.626121, 50, 9.95045, 0, 2
68, 3, 0.716423, -0.589996, 50.9984, 9.95045, 0, 3
69, 3, -5.27793e-008, 4.44266e-008, 0, 10, 0, 1
69, 3, -5.27793e-008, 4.44266e-008, 6.53971, 9.99353, 0, 5
69, 3, 2.24823, -3.23072, 40.7798, 9.95938, 0, 5
69, 3, 2.72938, -4.69682, 50, 9.9501, 0, 2
69, 3, 2.78085, -4.85365, 50.9863, 9.9501, 0, 3
70, 3, -2.83316e-008, -5.34959e-008, 0, 10, 0, 1
70, 3, -2.83316e-008, -5.34959e-008, 15.2703, 9.98488, 0, 5
70, 3, -8.19994, 8.35851, 30.2957, 9.966, 0, 5
70, 3, -11.6839, 12.6218, 36.9772, 9.95741, 0, 5
70, 3, -19.3874, 23.189, 50, 9.93908, 0, 2
70, 3, -19.8048, 23.7615, 50.7056, 9.93908, 0, 3
71, 3, -1.13486e-008, -5.23583e-008, 0, 10, 0, 1
71, 3, -1.13486e-008, -5.23583e-008, 12.9409, 9.98719, 0, 5
71, 3, 0.119452, 0.281045, 26.4979, 9.97375, 0, 5
71, 3, 0.775982, 0.749392, 38.6556, 9.96166, 0, 5
71, 3, 0.91213, 0.705371, 50, 9.9504, 0, 2
71, 3, 0.92413, 0.701491, 50.9999, 9.9504, 0, 3
72, 3, -1.26446e-008, -4.40067e-008, 0, 10, 0, 1
72, 3, -1.26446e-008, -4.40067e-008, 6.34753, 9.99372, 0, 5
72, 3, 0.0923712, 0.197935, 16.338, 9.98382, 0, 5
72, 3, -0.782039, 0.100566, 43.1115, 9.95726, 0, 5
72, 3, -1.02909, 0.174037, 50, 9.95042, 0, 2
72, 3, -1.06493, 0.184695, 50.9993, 9.95042, 0, 3
73, 3, 1.62419e-008, 1.01136e-008, 0, 10, 0, 1
